segmentName,test_short_noisyPhase_PESQ,test_short_noisyPhase_STOI,test_short_noisyPhase_SegSNR,test_short_noisyPhase_DNSMOS_OVRL,test_short_noisyPhase_DNSMOS_SIG,test_short_noisyPhase_DNSMOS_BAK
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_91,2151,0.666932865998739,0.960104077818446,3.00809407136675,3.3469930987571,3.93644071126965
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_92,1778,0.734610580667627,-1.20266993869995,2.8501331662992,3.25409763542198,3.76902843422035
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_93,2028,0.538438268779772,-1.4069070136734,2.93644493454644,3.46886771998237,3.5782166389219
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_94,1911,0.772528699301736,-3.12583278988423,2.27622450393041,2.96226700833507,2.91245147464712
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_95,1.74,0.678957511976113,4.80352918319474,3.17898987047603,3.48603622813476,4.02566650347732
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_96,2375,0.564585693171569,2.31787902172383,2.89211284712863,3.26082988988486,3.84820918473296
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_97,1767,0.563942422417604,1.5253923618223,3.12815221589926,3.46844349757938,3.94727935829075
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_98,2122,0.458585313275365,1.89086787835173,2.95153202702877,3.34078923150899,3.78988831955527
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_99,2176,0.54035187039933,-0.906014266335327,2.4521632936501,2.77028949020251,3.6835589239149
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_0dB_SNR_100,1756,0.598796767081399,-0.380567378202111,2.4888088643563,2.8686059903321,3.55737018321524
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_101,2559,0.726451378633005,2.00195341848501,3.07322509257796,3.43876325650985,3.88692870332326
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_102,1.96,0.751480879735247,-0.0878836467494333,3.03892793500143,3.3746947794864,3.97528014451243
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_103,2335,0.537071714100179,2.06700608902141,2.78332502161915,3.24017781059287,3.56551394606416
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_104,2542,0.853739292072458,3.03010709222123,3.00966213752767,3.35345042403524,3.88889926287645
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_105,2475,0.72945747672596,5.69727972561242,3.02088308753682,3.33774650249979,3.98622469892812
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_106,2536,0.627778664322131,3.71898693796383,2.82589153161562,3.16735128065803,3.8214889749939
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_107,2761,0.698995247997907,6.12189183424938,3.1402117625801,3.48459231425023,3.93579554566321
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_108,2398,0.469768570168201,2.28410092793238,3.14169801579084,3.49963631033741,3.92689167216977
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_109,2415,0.561747446448149,2.7544440648324,2.63461313474019,2.97930376994763,3.75233685883567
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_5dB_SNR_110,1667,0.62565371399542,0.00329354134020449,2.28976430490893,2.70047343111283,3.29402812896736
p245_017_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_111,3067,0.735216522221028,5.34221480461816,3.0980925110364,3.50303126502271,3.79837568389148
p248_211_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_112,3239,0.885012792042389,4.71580000062072,2.97444034409389,3.32610762518685,3.93277701504942
p245_314_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_113,2882,0.594664601253166,6.76549086887596,3.26124386538334,3.62189672566635,3.9180736032232
p226_203_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_114,3203,0.879033776112944,5.90426965971621,3.13168508988452,3.4399433634259,3.97922915976485
p272_029_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_115,3011,0.745713682756178,8.35351479221256,3.14572225939597,3.46087973212,3.98192043113324
p265_060_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_116,3164,0.671030198848077,7.08170479557067,3.25345755797193,3.54503128536276,4.07519022976134
p240_237_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_117,3036,0.731998489477656,6.66562099765247,3.17661087217204,3.50081346784681,4.00298926158194
p272_338_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_118,3249,0.561969797528701,5.56313602434005,2.97099031254801,3.31322007050108,3.90790135202594
p240_051_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_119,2838,0.57986325022394,4.50942383398673,2.81824195122499,3.11542942561467,3.89177422157919
p240_309_Work_Noise_Office_Callcener_binaural ( 0.00-30.00 s)_10dB_SNR_120,2481,0.753733076744569,5.37924136872012,2.78341298425282,3.11684047846432,3.84869817196559
